Title,Price,Rating,Image
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN","₹38,500",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_SX148_SY213_QL70_.jpg
"MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce GTX 1650, GDDR6 4GB/Black/1.8Kg), 11SC-1477IN","₹41,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61FTNlVa5OL._AC_SX148_SY213_QL70_.jpg
"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray","₹51,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61v6prN3QrL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","₹44,490",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81rSur88g3L._AC_SX148_SY213_QL70_.jpg
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","₹22,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71mQMASiF7L._AC_SX148_SY213_QL70_.jpg
"HP 250 G9 Intel Celeron Dual Core 4500u - (8 GB/256 GB SSD/DOS) 8Y2Y9PA Laptop (15.6 inch, Silver, 1.75 kg)","₹21,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/61JYH36ZBmL._AC_SX148_SY213_QL70_.jpg
"Dell 14, Intel 12th Gen Core i5-1235U Processor Laptop/8GB/512GB SSD/14.0"" (35.56cm) FHD Display/Intel UHD Graphics/Spill-Resistant Keyboard/Win 11 + MSO'21/Black/15 Month McAfee, Thin & Light-1.48kg","₹43,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/615acqoUuIL._AC_SX148_SY213_QL70_.jpg
"TECNO MEGABOOK T1,Intel Core 11th Gen i3 Processor (8GB RAM/512GB SSD Storage), 15.6-Inch(39.62 CM) Eye Comfort disply, (14.8mm Ultra Slim/70 Wh Large Battery/Windows 11/ Moonshine Silver / 1.56 Kg)","₹23,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61zAPJOwK8L._AC_SX148_SY213_QL70_.jpg
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","₹16,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61H76AyN6pL._AC_SX148_SY213_QL70_.jpg
"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS","₹33,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71qTbS09tjL._AC_SX148_SY213_QL70_.jpg
"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU","₹41,254",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41nZQgwhMSL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82SB00NXIN","₹55,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81uF+eal5gL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/1Yr Warranty + 1 Yr ADP/Grey/1.6Kg), 82R400BGIN","₹35,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_SX148_SY213_QL70_.jpg
